ProviderID,ProviderFirstName,ProviderMiddleInitial,ProviderLastName,ProviderNameSuffix,ProviderType,ProviderGender,ProviderRaceEthnicity,ProviderDOB,ProviderAge,ProviderNPI
9cce144a-a1e2-4d09-b5c5-6af3c93c2ef3,Kyle,U,Harris,MD,Dentist,Female,Native American,1968-02-12,57,6798633999
6de87d10-a676-40a6-8f74-fe5f86a68327,Jerry,V,Nelson,Sr.,Pediatrician,Other,Other,1950-12-16,75,9280847971
b1f9f8b9-d074-4bde-9de1-56ee5f807ded,Anthony,J,Ball,Jr.,Pediatrician,Other,Native American,1963-08-09,62,4282444562
22f83106-4e2d-4c64-8d94-af4b260aaa4f,Lori,P,Lopez,II,Pediatrician,Other,Asian,1948-01-25,77,6625920079
70e78c27-6acc-4f4e-b68e-d6a19e4df317,Melinda,W,Evans,PhD,Neurologist,Male,Black or African American,1981-10-26,44,9412928966
ec794cf5-db73-495c-b537-9f04a4838730,Amy,O,Hatfield,II,Cardiologist,Female,White,1953-02-12,72,5986682140
0771df48-3857-48af-8640-516b3af6ef00,Charles,Y,Smith,MD,General Practitioner,Female,White,1948-09-08,77,4764526082
8b56088e-3c02-429e-b522-586325be2907,Daniel,K,Johns,MD,Pediatrician,Male,White,2000-05-16,25,1655397988
0d3f7937-cc5a-4d6f-83b9-4e07cdc35479,Teresa,R,Medina,II,General Practitioner,Other,Asian,1979-12-09,46,7966609762
d075e02a-594b-4d20-ad16-fb60423c3498,James,I,Thomas,PhD,Pediatrician,Female,Hispanic or Latino,1981-06-26,44,7216609780
405cb933-321d-435a-92cf-3d95f160f3dc,Daniel,F,Shaw,None,Cardiologist,Other,Other,1946-09-21,79,2814836957
40993c5a-fcc2-4818-a7be-96b4b22239ec,Jeremy,M,Woods,PhD,General Practitioner,Male,White,1983-10-02,42,2808898936
b51b3ebc-1c24-4efd-8020-60b6f42fdf8d,Darlene,E,Morgan,Jr.,General Practitioner,Other,Asian,1961-04-25,64,9102537478
df0d3f76-78c9-453f-b23a-d61d895a7b8a,Rebecca,M,Walters,PhD,Neurologist,Female,Other,1972-06-20,53,4050511098
85473c77-2574-44b8-b979-114e5107f22a,Hannah,X,Townsend,II,General Practitioner,Female,Asian,1970-12-13,55,8965202713
f5aa8ddf-9655-43aa-ab30-e0172eea0828,Jennifer,B,Mullen,MD,Neurologist,Male,Asian,1993-07-30,32,3808925476
ecf652f9-46ca-497a-88e5-a2042b76f9a2,Lindsay,E,Bennett,PhD,Dentist,Other,White,1975-02-17,50,5783239024
58eab510-fcba-4b11-8292-ff57f85b240b,Jasmine,I,Prince,None,Neurologist,Other,Hispanic or Latino,1968-04-30,57,6960529373
03d8303d-b678-4220-a8d7-f0d3863e9fe0,Tony,W,Johnson,III,Pediatrician,Female,White,1973-12-25,52,4751694244
80069fb2-8c38-42a5-8488-01f7b93bd013,Jeffrey,V,Braun,MD,General Practitioner,Male,Other,1947-09-23,78,4117584639
405e62cc-620e-482c-a26b-470e25687be3,Joseph,E,Parks,PhD,Pediatrician,Female,Hispanic or Latino,1968-04-13,57,2389701640
3bdec61b-b1d7-4f6d-bc5f-8a873bb6eced,John,D,Hernandez,Jr.,Pediatrician,Male,Black or African American,1985-02-01,40,8626874957
aebb84d3-5c79-4921-ae0a-4e6dd3fae96d,Nathan,J,Jensen,None,Dentist,Female,Black or African American,1958-02-09,67,3181025795
c4fe0c44-1ce7-431f-830b-0ffd5ef44067,David,J,Morris,II,Neurologist,Female,Hispanic or Latino,1950-07-05,75,2907994625
3a74387c-cade-4433-8bd3-157412b302a8,Stacy,F,Johnson,PhD,General Practitioner,Other,White,1958-07-06,67,4134282688
e46571fe-07e4-45a6-893d-f07cd9dd9117,Katherine,I,Hamilton,Jr.,Cardiologist,Female,Other,1981-05-03,44,5911559301
7ef37887-1877-4be9-86f2-c6fceca52d5a,Miguel,C,Daniels,None,Pediatrician,Male,Asian,1970-07-25,55,8873554685
58983713-d051-4e41-98b9-1ad68d3d9522,Candace,X,Howard,Sr.,General Practitioner,Other,Hispanic or Latino,1956-01-02,69,8841578107
a5bab3fc-694f-4dc5-85b1-05a5ad78a7af,Caroline,J,Fitzgerald,MD,General Practitioner,Female,Black or African American,1971-05-02,54,5233630627
2d8659ca-c760-4839-8ddd-4f7e25de2bc7,Kristen,K,Fox,PhD,Cardiologist,Other,Hispanic or Latino,1972-09-25,53,2245142124
58c398f7-0812-4e97-8a0b-bcfe1b5dbf21,Johnny,S,Davidson,MD,Neurologist,Male,Native American,1980-10-20,45,1693620329
520bc35d-cdd1-4007-b1af-7bd374e41250,Briana,I,Price,MD,Dentist,Male,Hispanic or Latino,1986-05-02,39,9279032766
61003682-6150-4367-9417-7b2cfdfbe9b8,April,G,Woods,PhD,Cardiologist,Male,Hispanic or Latino,1996-06-12,29,4541969107
796228d5-1e00-4e63-b294-a519bed89701,Daisy,H,Montgomery,Jr.,Neurologist,Other,Black or African American,1995-09-13,30,3660590021
62451773-ac86-4ce6-a61d-3ace3ba77955,Sarah,A,Jimenez,None,General Practitioner,Female,Hispanic or Latino,1978-06-20,47,5588016350
92f56086-f0c7-4792-b7ea-925d2657d2f6,Catherine,W,Scott,None,General Practitioner,Male,Native American,1994-05-16,31,2993548743
4cd5d6ac-e0ca-4945-a5e9-f2e3105bffa9,Julie,R,Meza,MD,Pediatrician,Female,Asian,1950-09-20,75,8142809779
dd813dc4-1366-4aa3-ae19-8499e145c826,Ashley,Z,Ramirez,None,General Practitioner,Male,Native American,1963-04-04,62,4031574291
6a111c9f-f2c2-4e07-be66-8c8cad8ea67c,Adam,B,Davis,II,Neurologist,Male,White,1958-05-31,67,1890232298
f5cf9a2c-f1ed-435f-97da-8d9713e2293b,Gloria,V,Bass,None,Neurologist,Other,Native American,1957-06-14,68,2122152731
b0956c5b-d918-4445-94fa-3890e7f4aeac,Jacob,S,Hanson,III,General Practitioner,Male,Native American,1965-03-23,60,6804466920
5effb935-5090-4af6-a276-6f49028efa7f,Nicole,B,Melendez,PhD,Pediatrician,Female,Asian,1995-04-10,30,4234824153
afbb8da0-1ad9-4e9b-8eb4-59c02959cc3f,Phillip,V,Robinson,PhD,Pediatrician,Male,Black or African American,1971-08-18,54,9060178815
88229580-f7e9-4e95-8add-135709284134,Christopher,V,Alvarado,PhD,Neurologist,Female,Other,1987-02-03,38,7063502886
b3ce6a89-ee48-4fd0-b4e5-a897d7fe4544,Victor,E,Ware,MD,General Practitioner,Female,White,1946-10-03,79,3198514262
63e6f90b-6c5e-4228-83b8-c77f9db76e8c,Connor,F,Harrington,MD,Dentist,Other,White,1958-08-18,67,8752128426
b4ed3446-cb1e-472c-91a8-1749ec3b4891,Jeremy,L,Bennett,Jr.,Dentist,Female,Other,1950-08-07,75,3644720726
f30d824a-7137-4ceb-8e9e-db40ab2f349d,Paul,T,Noble,None,Dentist,Other,Asian,1963-02-07,62,4280833635
fa4a3ba4-8f7c-4178-b69d-eb516023717d,Katelyn,B,Trevino,Jr.,Dentist,Male,Other,1979-11-14,46,7125437469
d2e1594a-3439-498b-8160-5e22c0316398,Peter,I,Donovan,MD,Pediatrician,Other,Other,1947-07-01,78,2800544273
be65a248-e6b2-4e58-b809-3c57948d5a80,Jennifer,J,Davis,II,General Practitioner,Other,White,1987-02-04,38,8467959813
36837759-3a72-46ef-a614-4dfa96ca523c,Stefanie,Z,Cordova,Jr.,General Practitioner,Female,Asian,1991-04-25,34,7515453240
7ced3223-39e9-4665-846d-a318da87ab19,Tammy,Q,Buckley,Jr.,Pediatrician,Female,Hispanic or Latino,1971-04-19,54,7520306756
38407f8a-0d16-42f1-8a34-4c29cf9de508,David,Z,Smith,Sr.,Neurologist,Male,Other,1970-07-22,55,9064206471
37c27e78-fad2-428b-864e-0018499a4697,George,W,Bowers,MD,Cardiologist,Female,Native American,1955-04-10,70,5696736824
ebb44c98-2f95-4fe7-8b6a-f91face14769,Angela,V,Smith,Sr.,Cardiologist,Male,Asian,1946-03-08,79,5539190812
011d7b5d-c89c-4fde-9c5d-fc1bf1ea87b9,Kelsey,T,Owen,Jr.,Cardiologist,Male,Black or African American,1996-07-24,29,2437894137
e2899908-098d-452a-94be-6e2f38caa0bc,Jeffrey,B,Bowman,Sr.,Neurologist,Male,Asian,1963-01-06,62,9676629102
4aa85d29-41e8-47ea-97eb-71600e185ee5,Katherine,C,Wang,Sr.,Cardiologist,Male,White,1965-05-12,60,3432143878
14b842b1-8da0-407b-aa05-bcc4a1bc9d72,Erik,V,Soto,None,Cardiologist,Other,Other,1968-07-24,57,6343185099
7554c3ea-f22e-434b-8017-72f8ee6b8e23,Nancy,R,Wagner,PhD,Neurologist,Female,White,1950-03-14,75,6861354476
a5df2d84-41bf-4028-8a8c-c8d45e266b6a,Angela,O,Osborne,PhD,Cardiologist,Other,Other,1968-03-05,57,4702468219
34a96adf-668c-4569-a77f-8e1ca34dab28,Theresa,K,Sweeney,None,Dentist,Other,Asian,1978-09-05,47,6161878760
54103731-fb3d-4b97-b839-596c2f0c25a9,Kenneth,M,Hawkins,Jr.,Dentist,Male,White,1955-11-01,70,4308542723
5936c7c4-9c23-4a2e-8c91-32234e59f6b6,Ethan,J,Lane,II,General Practitioner,Female,Black or African American,1956-03-04,69,5818556419
3a94d889-00fa-476d-b70c-20047cfd251f,Corey,M,Jones,MD,Dentist,Female,White,1987-03-09,38,7372922107
aa979b99-077d-4dda-afaf-01c76d36a4cd,Matthew,X,Hood,II,Neurologist,Male,Asian,1964-12-01,61,4231249447
f4c2883a-a780-4540-9081-bb613d5f3016,Marilyn,M,Ross,PhD,Cardiologist,Male,White,1986-04-25,39,4313863105
f1a69259-1d65-4c0c-ae58-9422a6091ae7,Scott,Q,Gibson,PhD,General Practitioner,Female,White,1979-06-24,46,7478986959
d36a0892-ba61-40d3-a3cf-912ecb58ed55,Renee,T,Richardson,Sr.,General Practitioner,Female,Other,1991-12-19,34,7951050708
0198128f-da8c-4281-a7b9-a722de37368d,Randy,X,Perez,PhD,Pediatrician,Other,Native American,1964-03-04,61,4900647758
b5e0b7d5-751f-48f8-9d44-ab68d80a338b,Nicole,C,Dunn,PhD,General Practitioner,Male,Hispanic or Latino,1950-06-26,75,9126709984
d03275de-9296-442e-8b34-34d3bb5ddc7d,Jon,Y,Nielsen,None,Neurologist,Male,White,1965-10-27,60,8570379033
2a25c33b-675b-43f1-a48c-6362037563fd,Laura,X,Escobar,II,General Practitioner,Other,Native American,1973-06-27,52,7469070710
364ead85-392c-4378-94d9-c1f1964b4aff,Gerald,J,Thompson,II,Dentist,Female,White,1964-07-01,61,5799595881
3de6cced-f8b0-45ac-b037-9260238186c0,Christine,N,Hill,Sr.,Cardiologist,Male,Other,1954-12-26,71,9520469911
e30a1cf7-f0ca-44a5-bb4b-ef60a3a87d6d,James,A,Hurley,MD,Cardiologist,Other,White,1997-01-25,28,8381528436
dc07e21c-7de9-4473-b863-0e76bdb4aad3,Jason,W,Schaefer,Sr.,Pediatrician,Female,Hispanic or Latino,1968-10-07,57,8248065677
